plant,axis,metamer,organ,visible_length,is_growing,final_hidden_length,length
1,MS,1,blade,0.097300,False,0.000000,0.097300
1,MS,1,sheath,0.022280,False,0.000000,0.022280
1,MS,2,blade,0.082560,False,0.000000,0.082560
1,MS,2,sheath,0.001070,False,0.022280,0.023350
1,MS,3,blade,0.063820,False,0.000000,0.063820
1,MS,3,sheath,0.001000,False,0.023350,0.024350
1,MS,4,blade,0.022286,True,NA,0.000042
1,MS,4,sheath,0.000000,False,NA,0.000000
1,MS,5,blade,0.000000,False,NA,0.000000
1,MS,5,sheath,0.000000,False,NA,0.000000
1,MS,6,blade,0.000000,False,NA,0.000000
1,MS,6,sheath,0.000000,False,NA,0.000000
